householdId,size,incomeLevel,createdDate
HH000001,1,very_low,2024-06-23
HH000002,1,low,2024-07-08
HH000003,1,very_low,2023-10-17
HH000004,1,very_low,2024-05-11
HH000005,1,low,2023-05-03
HH000006,1,very_low,2023-11-22
HH000007,1,moderate,2024-11-09
HH000008,1,low,2024-06-13
HH000009,1,very_low,2022-11-01
HH000010,1,moderate,2024-07-06
HH000011,1,low,2022-06-17
HH000012,1,low,2022-08-10
HH000013,1,low,2024-03-19
HH000014,1,moderate,2023-07-14
HH000015,1,very_low,2024-04-18
HH000016,1,moderate,2023-01-01
HH000017,1,moderate,2022-12-29
HH000018,1,low,2024-06-29
HH000019,1,moderate,2023-11-17
HH000020,1,low,2022-07-12
HH000021,1,low,2024-06-13
HH000022,1,very_low,2023-11-28
HH000023,1,very_low,2024-02-09
HH000024,1,moderate,2023-08-25
HH000025,1,moderate,2024-12-19
HH000026,1,moderate,2024-03-27
HH000027,1,low,2023-06-04
HH000028,1,very_low,2022-01-24
HH000029,1,low,2024-07-06
HH000030,1,low,2024-10-21
HH000031,1,moderate,2022-12-16
HH000032,1,low,2024-04-02
HH000033,1,low,2022-08-30
HH000034,1,very_low,2022-09-29
HH000035,1,low,2023-06-08
HH000036,1,moderate,2024-04-11
HH000037,1,low,2022-09-22
HH000038,1,low,2022-04-10
HH000039,1,low,2023-05-13
HH000040,1,very_low,2022-01-14
HH000041,1,very_low,2023-04-14
HH000042,1,moderate,2022-06-20
HH000043,1,very_low,2022-08-06
HH000044,1,moderate,2024-07-08
HH000045,1,low,2023-05-12
HH000046,1,moderate,2024-02-21
HH000047,1,very_low,2024-08-22
HH000048,1,very_low,2022-07-09
HH000049,1,moderate,2024-10-05
HH000050,1,very_low,2022-01-20
HH000051,1,moderate,2023-06-09
HH000052,1,moderate,2022-02-13
HH000053,1,very_low,2022-09-30
HH000054,1,moderate,2024-04-09
HH000055,1,moderate,2024-04-24
HH000056,1,low,2023-06-03
HH000057,1,low,2024-07-05
HH000058,1,low,2024-07-02
HH000059,1,low,2024-01-20
HH000060,1,very_low,2023-01-14
HH000061,1,low,2022-09-27
HH000062,1,low,2024-10-08
HH000063,1,moderate,2024-10-12
HH000064,1,low,2024-05-03
HH000065,1,moderate,2024-03-11
HH000066,1,moderate,2024-05-27
HH000067,1,low,2023-12-26
HH000068,1,low,2022-08-22
HH000069,1,moderate,2024-07-25
HH000070,1,low,2024-06-08
HH000071,1,low,2024-11-07
HH000072,1,low,2024-10-02
HH000073,1,low,2023-06-22
HH000074,1,low,2023-09-11
HH000075,1,low,2024-09-03
HH000076,1,moderate,2023-03-15
HH000077,1,low,2023-10-13
HH000078,1,moderate,2023-05-25
HH000079,1,very_low,2023-03-17
HH000080,1,low,2024-10-12
HH000081,1,low,2024-03-24
HH000082,1,very_low,2022-08-15
HH000083,1,moderate,2023-12-11
HH000084,1,very_low,2024-10-28
HH000085,1,low,2022-03-31
HH000086,1,low,2023-06-12
HH000087,1,very_low,2023-08-31
HH000088,1,low,2022-05-08
HH000089,1,low,2022-06-20
HH000090,1,low,2024-06-20
HH000091,1,low,2022-07-04
HH000092,1,low,2024-12-07
HH000093,1,very_low,2022-03-01
HH000094,1,low,2022-10-24
